objectid,sort_id,internet_archive_link,wacz_download_link,pdf_download_link,live_web_link,filename,capture_timeframe,youtubeid,vimeoid,title,publisher,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,rights_blanket,field_test_1,field_test_2,field_test_3
mtzfubs_webarchive_001,1,https://web.archive.org/web/20250321004629/https://www.mtzion-fubs.org/,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_001.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_001.pdf,https://www.mtzion-fubs.org/,mtzfubs_webarchive_001.jpg,,,,The Black Georgetown Foundation Website,The Black Georgetown Foundation,,,"The homepage of the Black Georgetown Foundation. This website stores much of the preservation, archival, and outreach work undertaken by the foundation and is updated frequently with new information. This website also links to their Cemeteries Information System, where much of the information for this project was found.",Black Georgetown Foundation,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_001,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_002,2,https://web.archive.org/web/20250206161131/https://storymaps.arcgis.com/stories/05bb683c322546c2927122ddf88adbb1,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_002.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_002.pdf,https://storymaps.arcgis.com/stories/05bb683c322546c2927122ddf88adbb1,mtzfubs_webarchive_002.jpg,,,,Mount Zion - Female Union Band Historic Memorial Park,ArcGIS StoryMaps,Dwayne Franklin,2025-02-06,This dynamic ArcGIS Storymap went offline while this web archive was being constructed. Only the Internet Archive Wayback Machine capture represents some of its original content.,Digital Exhibit; Preservation; Public History,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_002,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_003,3,https://web.archive.org/web/20230203180110/https://www.lonelyplanet.com/usa/washington-dc/georgetown/attractions/mount-zion-cemetery/a/poi-sig/1333526/1329649,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_003.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_003.pdf,https://www.lonelyplanet.com/usa/washington-dc/georgetown/attractions/mount-zion-cemetery/a/poi-sig/1333526/1329649,mtzfubs_webarchive_003.jpg,,,,Mount Zion Cemetery,Lonely Planet,,,"This brief blogpost description of the Mt. Zion and Female Union Band Society site is featured on Lonely Planet, a travel guide site, which helps direct people to interesting sites around the world. The blurb correctly denotes that the two sites are actually two seperate cemeteries, but seems to pull from an incorrect source on the number of people interred there - which could be upwards of 6,000.",Lonely Planet; Travel; Blogpost,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_003,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_004,4,https://web.archive.org/web/20211127202816/https://www.tclf.org/mount-zion-cemetery-female-union-band-cemetery,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_004.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_004.pdf,https://www.tclf.org/mount-zion-cemetery-female-union-band-cemetery,mtzfubs_webarchive_004.jpg,,,,Mount Zion Cemetery/ Female Union Band Cemetery,The Cultural Landscape Foundation,,,"This database entry on the Cultural Landscape Foundation's website talks about the cemeteries as significant historical sites. This reconigtion from other historical assocations, among many other organizations, has played a large part in garnering the cemetery support and name recognition.",Preservation; Public History,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_004,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_005,5,https://web.archive.org/web/20200704091045/https://www.loc.gov/item/dc1064/,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_005.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_005.pdf,https://www.loc.gov/item/dc1064/,mtzfubs_webarchive_005.jpg,,,,"Mount Zion Cemetery/ Female Union Band Cemetery, Bounded by 27th Street right-of-way N.W. (formerly Lyons Mill Road), Q Street N.W., & Mill Road N.W., Washington, District of Columbia, DC",Library of Congress,,,An item page created and hosted by the Library of Congress. The metadata in this record provides valuable related terms for future researchers seeking to find more information about the history of these cemeteries under different names.,Library of Congress; ,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_005,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_006,6,https://web.archive.org/web/20230927182232/https://dc.citycast.fm/history-archive/unearthing-black-georgetown,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_006.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_006.pdf,https://dc.citycast.fm/history-archive/unearthing-black-georgetown,mtzfubs_webarchive_006.jpg,,,,Unearthing Black Georgetown - City Cast DC,City Cast DC,Kaela Cote-Stemmerman,2024-02-15,A hybrid blogpost/podcast episode webpage created by the podcast City Cast DC (an off shoot of the City Cast (City) podcast network owned by the Graham Holdings Company. It discusses the history of the cemeteries as they relate to Black Georgetown and signifies popular interest about them.,Podcast; CityCast DC; Preservation,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_006,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_007,7,https://web.archive.org/web/20200704040206/https://historicsites.dcpreservation.org/items/show/400,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_007.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_007.pdf,https://historicsites.dcpreservation.org/items/show/400,mtzfubs_webarchive_007.jpg,,,,Mount Zion Cemetery (Methodist Episcopal Burying Grounds; Female Union Band Society Graveyard),The DC Preservation League,,2024-04-07,"A short blogpost created by the District of Columbia Preservation League, which contains photos, embedded maps, and descriptions about the Mount Zion and Female Union Band Society Cemeteries.",Blogpost; District of Columbia Preservation League,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_007,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_008,8,https://web.archive.org/web/20230402094317/https://oakhillcemeterydc.org/death-of-a-cemetery-mt-zions-disrepair/,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_008.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_008.pdf,https://oakhillcemeterydc.org/death-of-a-cemetery-mt-zions-disrepair/,mtzfubs_webarchive_008.jpg,,,,Death of a Cemetery: Mt. Zion’s Disrepair,Oak Hill Cemetery,,2015-03-26,"This short webpage, created by the neighboring Oak Hill Cemetery, discusses the history of race relations that played a key part in how the cemeteries took shape. It discusses figures buried there, like Clement Morgan (the first African-American to graduate from both Harvard College and Law School) as well as discussing the current hopes for the future of the cemeteries at the time.",Preservation; Public History; Black Georgetown,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_008,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_009,9,https://web.archive.org/web/20230629163422/https://www.nytimes.com/2016/10/21/us/georgetown-washington-mount-zion-oak-hill-cemetery.html,,,https://www.nytimes.com/2016/10/21/us/georgetown-washington-mount-zion-oak-hill-cemetery.html,mtzfubs_webarchive_009.jpg,,,,"At 2 Georgetown Cemeteries, History in Black and White",The New York Times,Nicholas Fandos,2016-10-20,"This New York Times article explores the history of Mount Zion and Oak Hill Cemeteries in Georgetown, focusing on how racial divisions shaped their neighboring landscapes. It reflects on the ways segregation extended into burial practices and how efforts today are reclaiming and honoring the stories held at Mount Zion.",Public History; Preservation; Segregation,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_009,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_010,10,https://web.archive.org/web/20230622043420/https://georgetowner.com/articles/2023/06/19/georgetown-history-alive-at-mt-zion-cemetery-on-juneteenth/,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_010.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_010.pdf,https://georgetowner.com/articles/2023/06/19/georgetown-history-alive-at-mt-zion-cemetery-on-juneteenth/,mtzfubs_webarchive_010.jpg,,,,Georgetown History Alive at Mt. Zion Cemetery on Juneteenth,The Georgetowner,Robert Devaney,2023-06-19,"This article from The Georgetowner captures a Juneteenth event on June 19, 2023 at Mount Zion Cemetery where community members gathered to celebrate Black history, honor the ancestors, and highlight ongoing preservation efforts.",Juneteenth; Public Engagement; Black Georgetown Foundation,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_010,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
